project_id,item_id,location,section,qty,unit_cost,total_cost,uom,r_value,thickness_inches,material_type,membrane_type,manufacturer,pitch,source_sheet,scope_raw_original,mapping_confidence,extracted_at,system_id
3108ac6ed52f221dc8d366a83c36fcbb,MR-044OPNSTCEA,NY 11212,Exterior,148.0,250.0,37000.0,EA,,,,,,,07.07.2025,openings at stucco areas (Count) < 32lf,,2026-01-07 07:07:34,SYS-018
3108ac6ed52f221dc8d366a83c36fcbb,MR-045OPNSTCLF,NY 11212,Exterior,156.0,10.0,1560.0,LF,,,,,,,07.07.2025,openings at stucco areas (LF) > 32lf/40lf,,2026-01-07 07:07:34,SYS-018
3108ac6ed52f221dc8d366a83c36fcbb,MR-045OPNSTCLF,NY 11212,Exterior,156.0,10.0,1560.0,LF,,,,,,,07.07.2025,openings at stucco areas (LF) > 32lf/40lf,,2026-01-07 07:07:34,SYS-018
3108ac6ed52f221dc8d366a83c36fcbb,MR-045OPNSTCLF,NY 11212,Exterior,156.0,10.0,1560.0,LF,,,,,,,07.07.2025,openings at stucco areas (LF) > 32lf/40lf,,2026-01-07 07:07:34,SYS-018
3108ac6ed52f221dc8d366a83c36fcbb,MR-025FLASHBLDG,NY 11212,Flashing,290.0,24.0,6960.0,LF,,,,,,,07.07.2025,(Alum.) Metal Flashing at building wall,,2026-01-07 07:07:34,ACC-CFLASH
3108ac6ed52f221dc8d366a83c36fcbb,MR-026FLASHPAR,NY 11212,Flashing,545.0,24.0,13080.0,LF,,,,,,,07.07.2025,(Alum.) Metal Flashing at Parapet wall,,2026-01-07 07:07:34,ACC-CFLASH
3108ac6ed52f221dc8d366a83c36fcbb,MR-MISC-OTHER,NY 11212,MISC,10.0,250.0,2500.0,SF,,,,,,,07.07.2025,Balcony Dividers,,2026-01-07 07:07:34,
3108ac6ed52f221dc8d366a83c36fcbb,MR-MISC-OTHER,NY 11212,MISC,10.0,250.0,2500.0,SF,,,,,,,07.07.2025,Balcony Dividers,,2026-01-07 07:07:34,
3108ac6ed52f221dc8d366a83c36fcbb,MR-003BU2PLY,NY 11212,Roofing,10392.0,16.25,168870.0,SF,30.0,,,,,,07.07.2025,Roofing - Builtup - 2 ply 5.5''(R30),,2026-01-07 07:07:34,SYS-032
3108ac6ed52f221dc8d366a83c36fcbb,MR-032RECESSWP,NY 11212,Waterproofing,809.0,32.0,25888.0,LF,,,,,,,07.07.2025,Recessed floor (Front & Right side of Building),,2026-01-07 07:07:34,SYS-WP
3108ac6ed52f221dc8d366a83c36fcbb,MR-049TIEIN,NY 11212,Waterproofing,313.0,48.0,15024.0,LF,,,,,,,07.07.2025,Tie - In (LF),,2026-01-07 07:07:34,ACC-TIEIN
3108ac6ed52f221dc8d366a83c36fcbb,MR-049TIEIN,NY 11212,Waterproofing,313.0,48.0,15024.0,LF,,,,,,,07.07.2025,Tie - In (LF),,2026-01-07 07:07:34,ACC-TIEIN
3108ac6ed52f221dc8d366a83c36fcbb,MR-049TIEIN,NY 11212,Waterproofing,313.0,48.0,15024.0,LF,,,,,,,07.07.2025,Tie - In (LF),,2026-01-07 07:07:34,ACC-TIEIN
3108ac6ed52f221dc8d366a83c36fcbb,MR-050ADJHORZ,NY 11212,Waterproofing,121.0,65.0,7865.0,LF,,,,,,,07.07.2025,adj. building horizontal (Coustom Metal Flashing only),,2026-01-07 07:07:34,ACC-TIEIN
3108ac6ed52f221dc8d366a83c36fcbb,MR-050ADJHORZ,NY 11212,Waterproofing,121.0,65.0,7865.0,LF,,,,,,,07.07.2025,adj. building horizontal (Coustom Metal Flashing only),,2026-01-07 07:07:34,ACC-TIEIN
3108ac6ed52f221dc8d366a83c36fcbb,MR-050ADJHORZ,NY 11212,Waterproofing,121.0,65.0,7865.0,LF,,,,,,,07.07.2025,adj. building horizontal (Coustom Metal Flashing only),,2026-01-07 07:07:34,ACC-TIEIN
