table_id,table_type,created_date,last_revised_date,row_count,size_mb
v_pbi_fact_takeoff_agg,VIEW,2026-01-07 10:24:31,2026-01-07 10:24:31,0,0.0
v_pbi_gc_scorecard,VIEW,2026-01-07 10:25:10,2026-01-07 10:25:10,0,0.0
v_pbi_kpi_summary,VIEW,2026-01-07 10:36:20,2026-01-07 10:36:20,0,0.0
v_pbi_project_360,VIEW,2026-01-07 10:25:34,2026-01-07 10:25:34,0,0.0
v_project_bundling_details,VIEW,2026-01-06 04:48:15,2026-01-06 04:48:15,0,0.0
v_project_communications,VIEW,2026-01-05 03:03:58,2026-01-05 03:03:58,0,0.0
v_project_communications_summary,VIEW,2026-01-05 03:10:52,2026-01-05 03:10:52,0,0.0
v_project_intelligence,VIEW,2025-12-26 16:36:58,2025-12-26 16:36:58,0,0.0
v_project_intelligence_full,VIEW,2026-01-07 12:28:56,2026-01-07 12:28:56,0,0.0
v_project_intelligence_full_v3,VIEW,2026-01-05 13:43:48,2026-01-05 13:43:48,0,0.0
v_project_journey,VIEW,2026-01-07 09:09:54,2026-01-07 09:09:54,0,0.0
v_project_journey_summary,VIEW,2026-01-07 09:09:55,2026-01-07 09:09:55,0,0.0
v_project_llm,VIEW,2026-01-07 10:33:24,2026-01-07 10:33:24,0,0.0
v_project_lookup,VIEW,2026-01-01 16:48:18,2026-01-01 16:48:18,0,0.0
v_project_lookup_v2,VIEW,2026-01-05 13:42:06,2026-01-05 13:42:06,0,0.0
v_project_lookup_v3,VIEW,2026-01-05 13:43:59,2026-01-05 13:43:59,0,0.0
v_project_takeoff_journey,VIEW,2026-01-07 10:31:36,2026-01-07 10:31:36,0,0.0
v_project_takeoff_summary,VIEW,2026-01-07 03:32:07,2026-01-07 03:32:07,0,0.0
v_project_takeoff_template,VIEW,2026-01-07 03:35:53,2026-01-07 03:35:53,0,0.0
v_proposal_best_takeoff_sheet,VIEW,2026-01-07 03:08:11,2026-01-07 03:08:11,0,0.0
v_proposal_library,VIEW,2026-01-02 13:55:20,2026-01-02 13:55:20,0,0.0
v_proposal_revision_rounds,VIEW,2026-01-05 14:25:18,2026-01-05 14:25:18,0,0.0
v_proposal_systems_summary,VIEW,2026-01-02 14:06:31,2026-01-02 14:06:31,0,0.0
v_revision_diff_stats,VIEW,2026-01-07 09:08:59,2026-01-07 09:08:59,0,0.0
v_takeoff_lines_linked,VIEW,2026-01-06 22:42:17,2026-01-06 22:42:17,0,0.0
v_takeoff_vs_proposal_systems,VIEW,2026-01-07 02:18:20,2026-01-07 02:18:20,0,0.0
v_true_bundle_rates,VIEW,2026-01-05 03:09:30,2026-01-05 03:09:30,0,0.0
